1e+09,-18.823,3072,-0.59384
1.0775e+09,-16.307,3072,0.094665
1.161e+09,-14.914,3072,-0.00072385
1.251e+09,-13.88,3072,0.055197
1.348e+09,-15.271,3072,-0.1692
1.4525e+09,-18.377,3072,-0.063931
1.5651e+09,-13.802,3072,0.094665
1.6864e+09,-12.194,3072,0.036476
1.8171e+09,-15.832,3072,-0.085103
1.958e+09,-12.953,3072,-0.023556
2.1097e+09,-13.234,3072,0.060589
2.2733e+09,-15.349,3072,-0.095708
2.4495e+09,-6.5606,3072,0.44754
2.6394e+09,-13.843,3072,-0.22733
2.8439e+09,-3.5551,3072,0.49074
3.0644e+09,-11.864,3072,-0.24184
3.3019e+09,-10.009,3072,0.13146
3.5579e+09,-9.0561,3072,0.020605
3.8337e+09,-11.4,3072,-0.074511
4.1308e+09,-8.3111,3072,0.20989
4.451e+09,0.071334,3072,0.53849
4.796e+09,-0.81848,3072,0.21095
5.1678e+09,1.7769,3072,-0.46689
5.5684e+09,3,4608,-5.991
6e+09,3,4608,-2.9529
